DateTime,Tool,FPD,Temperature,Pressure
2022/1/1,A,0.69,23.68,453
2022/1/7,A,0.56,23.91,634
2022/1/26,A,0.71,23.59,433
2022/2/14,A,0.8,22.62,522
2022/3/2,A,0.82,23.25,427
2022/3/9,A,0.72,22.24,641
2022/3/29,A,0.87,23.82,583
2022/4/21,A,0.78,22.84,693
2022/4/24,A,0.43,22.46,580
2022/5/24,A,0.81,22.88,422
2022/6/1,A,0.78,23.47,672
2022/6/26,A,0.85,22.13,501
2022/7/24,A,0.63,22.14,637
2022/8/16,A,0.4,23.56,632
2022/8/22,A,0.67,22.37,692
2022/9/12,A,0.66,22.43,508
2022/9/16,A,0.85,23.51,630
2022/10/7,A,0.43,23.37,552
2022/10/14,A,0.49,22.55,544
2022/10/18,A,0.77,22.3,556
2022/10/27,A,0.33,23.26,528
2022/10/30,A,0.43,23.48,678
2022/11/28,A,0.32,22.53,645
2022/12/3,A,0.71,22.05,424
2022/12/4,A,0.55,23.52,510
2022/12/23,A,0.48,22.08,599
2023/1/18,A,0.89,22.57,537
2023/2/9,A,0.37,23.77,555
2023/2/28,A,0.83,22.29,461
2023/3/28,A,0.3,23.44,431
2023/3/30,A,0.62,23.65,488
2023/4/6,A,0.56,22.16,624
2023/4/7,A,0.36,23.07,422
2023/4/19,A,0.62,23.13,686
2023/4/23,A,0.43,22.67,551
2023/5/2,A,0.34,23.13,449
2023/5/10,A,0.87,23.16,689
2023/5/27,A,0.77,22.12,594
2023/6/7,A,0.79,22.22,635
2023/7/2,A,0.43,22.29,464
2023/7/15,A,0.82,23.06,660
2023/7/16,A,0.49,23.83,694
2023/8/8,A,0.71,23.68,458
2023/8/24,A,0.55,23.32,401
2023/9/13,A,0.77,22.84,601
2023/10/1,A,0.64,22.29,531
2023/10/22,A,0.64,23.36,485
2023/10/26,A,0.38,22.71,631
2023/11/25,A,0.43,23.53,680
2023/12/5,A,0.46,22.6,472
2023/12/24,A,0.61,23.26,448
2024/1/21,A,0.76,22.79,646
2024/2/9,A,0.85,22.28,575
2024/2/29,A,0.66,22.13,594
2024/3/9,A,0.39,22.6,661
2024/3/18,A,0.31,23.48,670
2024/4/10,A,0.41,23.75,515
2024/4/12,A,0.76,23.39,675
2024/4/25,A,0.53,22.31,604
2024/5/21,A,0.54,23.78,503
2024/5/31,A,0.41,23.36,433
2024/6/19,A,0.59,23.51,477
2024/6/20,A,0.8,22.23,626
2024/6/29,A,0.5,23.61,451
2024/7/17,A,0.54,22.41,691
2024/8/13,A,0.39,23.28,599
2024/9/8,A,0.87,22.96,676
2024/10/4,A,0.57,23.2,450
2024/10/28,A,0.7,23.68,542
2024/11/3,A,0.78,22.73,696
2024/12/2,A,0.34,22.43,446
2024/12/16,A,0.62,22.08,408
2022/1/1,B,0.56,22.77,613
2022/1/22,B,0.65,22.45,411
2022/2/8,B,0.52,22.82,549
2022/3/3,B,0.5,22.08,563
2022/3/10,B,0.49,23.5,693
2022/4/9,B,0.39,23.47,692
2022/4/21,B,0.54,22.04,534
2022/5/19,B,0.31,22.53,492
2022/6/18,B,0.6,22.21,503
2022/7/11,B,0.65,23.54,400
2022/7/31,B,0.48,23.17,684
2022/8/22,B,0.73,22.29,480
2022/8/24,B,0.31,22.33,444
2022/9/1,B,0.44,23.27,426
2022/9/30,B,0.87,23.59,467
2022/10/2,B,0.76,22.62,546
2022/10/27,B,0.52,22.3,401
2022/10/28,B,0.76,22.28,494
2022/11/19,B,0.39,22.56,643
2022/12/12,B,0.56,22.93,613
2023/1/5,B,0.37,22.58,550
2023/1/24,B,0.7,22.24,515
2023/2/23,B,0.58,23.16,542
2023/3/9,B,0.66,23.64,533
2023/3/31,B,0.49,22.04,605
2023/4/6,B,0.53,22.52,475
2023/4/27,B,0.84,22.38,530
2023/5/8,B,0.74,23.52,561
2023/5/15,B,0.57,22.96,416
2023/6/8,B,0.68,22.28,401
2023/7/2,B,0.8,22.53,556
2023/7/28,B,0.66,22.68,411
2023/8/16,B,0.55,23.02,658
2023/9/5,B,0.44,22.34,543
2023/9/27,B,0.88,23.19,627
2023/10/26,B,0.77,22.11,675
2023/11/17,B,0.68,23.34,582
2023/12/17,B,0.38,22.98,630
2024/1/12,B,0.35,23.34,685
2024/2/4,B,0.35,23.62,410
2024/2/29,B,0.49,22.81,546
2024/3/2,B,0.54,23.81,654
2024/3/18,B,0.57,23.22,560
2024/4/9,B,0.76,22.49,429
2024/5/6,B,0.84,23.58,543
2024/5/12,B,0.73,23.68,639
2024/5/19,B,0.86,23.75,584
2024/6/17,B,0.5,23.18,406
2024/6/29,B,0.64,22.06,556
2024/7/18,B,0.74,22.94,674
2024/8/5,B,0.61,22.93,610
2024/8/24,B,0.65,22.24,700
2024/9/4,B,0.73,23.03,518
2024/9/12,B,0.81,23,574
2024/10/12,B,0.55,22.24,565
2024/11/8,B,0.48,23.66,646
2024/12/6,B,0.72,23.04,491
2024/12/12,B,0.77,23.11,431
2024/12/14,B,0.36,23,490
2022/1/1,C,0.47,22.09,521
2022/1/15,C,0.46,22.6,595
2022/1/25,C,0.64,23.27,527
2022/2/13,C,0.88,23.07,661
2022/3/8,C,0.43,23.11,484
2022/3/23,C,0.31,22.48,654
2022/4/11,C,0.82,22.24,403
2022/4/24,C,0.76,22.04,552
2022/5/5,C,0.72,22.2,534
2022/5/19,C,0.4,22.97,496
2022/5/20,C,0.71,22.38,576
2022/6/13,C,0.63,23.66,418
2022/7/5,C,0.61,23.81,559
2022/7/21,C,0.79,23,533
2022/8/7,C,0.55,23.34,592
2022/8/25,C,0.63,23.2,649
2022/9/8,C,0.7,22.09,695
2022/9/22,C,0.5,23.88,426
2022/10/21,C,0.64,23.31,549
2022/11/10,C,0.58,22.99,615
2022/12/4,C,0.38,22.04,446
2022/12/19,C,0.55,22.8,686
2022/12/30,C,0.84,22.31,484
2023/1/28,C,0.4,22.2,685
2023/2/19,C,0.68,23.36,403
2023/3/12,C,0.51,23.29,492
2023/3/30,C,0.48,23.23,624
2023/4/4,C,0.41,22.2,460
2023/4/8,C,0.42,22.59,624
2023/4/26,C,0.41,23.09,516
2023/4/30,C,0.76,23.39,604
2023/5/14,C,0.89,23.37,406
2023/6/1,C,0.38,22.32,629
2023/6/14,C,0.63,22.98,437
2023/7/13,C,0.34,22.7,453
2023/8/3,C,0.75,22.31,438
2023/8/6,C,0.51,22.46,619
2023/8/23,C,0.84,22.03,491
2023/9/16,C,0.84,23.32,630
2023/10/11,C,0.84,22.73,502
2023/11/10,C,0.33,23.25,604
2023/12/1,C,0.35,22.34,686
2023/12/6,C,0.35,23.78,410
2024/1/5,C,0.36,23.72,662
2024/1/12,C,0.84,23.53,502
2024/2/6,C,0.35,22.07,624
2024/2/19,C,0.77,22.35,670
2024/3/18,C,0.35,22.21,400
2024/4/12,C,0.71,23.8,628
2024/5/4,C,0.44,22.74,679
2024/5/11,C,0.66,23.96,430
2024/5/26,C,0.75,23.54,513
2024/5/31,C,0.56,23.19,497
2024/6/16,C,0.58,23.78,435
2024/6/18,C,0.53,22.16,647
2024/6/22,C,0.41,23.37,679
2024/7/12,C,0.76,22.86,569
2024/7/23,C,0.35,22.8,601
2024/8/1,C,0.36,23.22,612
2024/8/23,C,0.66,23.73,514
2024/9/9,C,0.42,22.38,646
2024/9/20,C,0.62,22.77,584
2024/10/8,C,0.45,23.56,526
2024/10/26,C,0.69,23.71,601
2024/11/16,C,0.84,23.57,634
2024/11/18,C,0.71,23.55,416
2024/12/6,C,0.75,23.87,590
2024/12/31,C,0.67,22.42,544
2022/1/1,D,0.66,23.28,452
2022/1/3,D,0.81,22.85,639
2022/1/8,D,0.64,22.39,516
2022/1/18,D,0.71,23.44,447
2022/2/6,D,0.62,22.67,631
2022/3/7,D,0.57,23.91,620
2022/3/23,D,0.43,22.32,543
2022/3/31,D,0.8,23.5,657
2022/4/20,D,0.82,23.13,605
2022/5/8,D,0.78,22.84,653
2022/5/15,D,0.65,22.62,617
2022/5/24,D,0.35,22.74,400
2022/6/6,D,0.68,23.83,422
2022/7/5,D,0.55,23.1,599
2022/7/16,D,0.34,23.47,414
2022/7/25,D,0.86,22.83,645
2022/8/24,D,0.52,23.24,698
2022/9/20,D,0.87,23.42,591
2022/10/4,D,0.63,23,672
2022/10/17,D,0.85,23.52,418
2022/11/15,D,0.87,22.01,626
2022/12/13,D,0.49,22.95,404
2022/12/14,D,0.77,23.41,690
2023/1/10,D,0.57,23.27,487
2023/2/9,D,0.87,23.06,658
2023/2/23,D,0.58,22.1,436
2023/3/17,D,0.31,22.05,491
2023/3/22,D,0.51,22.2,550
2023/4/15,D,0.42,22.17,668
2023/5/9,D,0.58,22.64,530
2023/5/31,D,0.88,22.36,445
2023/6/28,D,0.89,23.95,571
2023/7/1,D,0.64,22.05,403
2023/7/22,D,0.63,22.98,674
2023/8/2,D,0.55,23.08,612
2023/8/18,D,0.67,22.19,673
2023/9/6,D,0.33,22.56,542
2023/9/26,D,0.52,23.86,487
2023/10/26,D,0.54,23.23,662
2023/11/21,D,0.55,22.28,406
2023/12/6,D,0.5,23.53,649
2023/12/25,D,0.6,23.05,576
2024/1/4,D,0.85,23.27,679
2024/1/22,D,0.35,23.66,440
2024/2/4,D,0.77,22.78,438
2024/2/11,D,0.57,23.41,506
2024/2/24,D,0.76,23.3,537
2024/3/19,D,0.35,22.81,414
2024/4/2,D,0.5,23.9,635
2024/4/14,D,0.54,23.77,622
2024/4/25,D,0.47,23.86,684
2024/5/9,D,0.87,22.55,529
2024/6/6,D,0.83,23.24,691
2024/6/22,D,0.57,23.75,635
2024/7/21,D,0.86,23.06,523
2024/8/4,D,0.83,23.1,576
2024/8/13,D,0.48,23.77,605
2024/8/31,D,0.32,23.66,510
2024/9/22,D,0.46,23.77,555
2024/10/14,D,0.65,22.42,512
2024/11/6,D,0.59,23.85,424
2024/11/24,D,0.88,22.07,620
2024/12/15,D,0.8,23.07,457
2022/1/1,E,0.44,23.01,472
2022/1/8,E,0.62,23.31,473
2022/2/6,E,0.73,23.25,416
2022/3/8,E,0.5,22.08,632
2022/3/26,E,0.82,22.88,413
2022/4/1,E,0.76,22.16,428
2022/4/27,E,0.35,23.34,562
2022/5/12,E,0.56,23.51,414
2022/6/11,E,0.49,22.14,529
2022/6/18,E,0.65,23.21,480
2022/7/13,E,0.76,23.55,613
2022/7/31,E,0.64,22.99,576
2022/8/2,E,0.61,23.94,555
2022/8/14,E,0.37,22.46,455
2022/8/28,E,0.42,22.02,482
2022/9/10,E,0.32,22.28,448
2022/10/6,E,0.4,22.41,454
2022/10/10,E,0.82,23.33,446
2022/11/6,E,0.56,23.62,492
2022/11/16,E,0.76,23.05,696
2022/11/17,E,0.57,22.79,578
2022/12/5,E,0.48,23.11,452
2022/12/25,E,0.58,22.88,657
2022/12/29,E,0.58,23.88,659
2023/1/21,E,0.46,23.25,586
2023/2/16,E,0.77,23.48,649
2023/3/1,E,0.51,23.44,541
2023/3/23,E,0.44,22.38,571
2023/4/16,E,0.66,22.76,603
2023/4/17,E,0.88,22.46,629
2023/5/2,E,0.42,23.99,615
2023/5/16,E,0.57,23.04,402
2023/5/21,E,0.81,22.68,457
2023/6/2,E,0.61,22.85,688
2023/6/21,E,0.44,22.14,602
2023/7/9,E,0.34,23.35,658
2023/7/13,E,0.88,22.69,425
2023/8/12,E,0.31,22.97,632
2023/8/28,E,0.82,23.51,590
2023/9/4,E,0.41,23.22,698
2023/9/11,E,0.79,22.45,533
2023/9/22,E,0.68,22.41,429
2023/10/21,E,0.45,22.28,422
2023/10/26,E,0.61,23.4,561
2023/11/1,E,0.66,23.81,479
2023/11/13,E,0.83,22.99,545
2023/12/6,E,0.45,22.17,539
2023/12/8,E,0.76,22.82,448
2023/12/27,E,0.82,23.36,561
2024/1/2,E,0.31,23.48,586
2024/1/7,E,0.72,23.06,638
2024/1/16,E,0.46,23.58,475
2024/1/24,E,0.68,22.08,524
2024/2/18,E,0.31,22.66,638
2024/3/12,E,0.59,23.69,453
2024/4/4,E,0.66,23.23,414
2024/4/20,E,0.86,23.28,624
2024/5/11,E,0.63,23.52,505
2024/5/23,E,0.58,23.38,439
2024/6/11,E,0.53,22.77,619
2024/7/8,E,0.32,23.1,474
2024/8/5,E,0.63,23.38,471
2024/8/27,E,0.82,23.97,484
2024/9/17,E,0.79,23.55,574
2024/10/11,E,0.36,23.77,489
2024/11/5,E,0.62,22.29,413
2024/11/6,E,0.88,23.93,562
2024/11/25,E,0.79,23.52,490
2024/12/4,E,0.78,23.42,451
2024/12/9,E,0.46,22.09,433
2024/12/16,E,0.56,22.23,446
2024/12/30,E,0.66,22.57,578